manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
פולקסווגן,2016,3,אוטומטית,1400.0,בנזין,פרטית,פרטית,66000.0,94000.0,GOLF,2885
מרצדס,2014,2,אוטומטית,2143.0,דיזל,מונית,מונית,45500.0,246900.0,200,0
מאזדה,2013,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,65000.0,147500.0,MAZDA 5,580
לקסוס,2014,3,אוטומטית,2500.0,היברידי,פרטית,פרטית,82000.0,145000.0,LEXUS IS300H,311
רנו,2015,2,אוטומטית,1500.0,דיזל,פרטית,פרטית,25500.0,225000.0,GRAND SCENIC,144
סקודה,2013,1,ידנית,1400.0,בנזין,חדש,פרטית,24500.0,205000.0,FABIA,274
אופל,2015,3,אוטומטית,1364.0,בנזין,פרטית,פרטית,48150.0,127000.0,ZAFIRA,21
סקודה,2017,1,אוטומטית,1400.0,בנזין,חדש,פרטית,95000.0,30550.0,OCTAVIA,4685
מאזדה,2019,1,אוטומטית,2000.0,בנזין,חדש,פרטית,88000.0,54000.0,MAZDA 3,2676
אופל,2014,2,טיפטרוניק,1600.0,בנזין,ליסינג,פרטית,34000.0,156000.0,INSIGNIA,246
מאזדה,2008,4,אוטומטית,2500.0,בנזין,פרטית,פרטית,23000.0,218000.0,MAZDA 6,4134
שברולט,2021,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,79100.0,23000.0,SPARK,4613
הונדה,2011,1,אוטומטית,1800.0,בנזין,חדש,פרטית,41900.0,84000.0,CIVIC,2656
קיה,2012,2,אוטומטית,900.0,בנזין,פרטית,פרטית,20000.0,230000.0,RIO,2239
סוזוקי,2014,1,ידנית,1240.0,בנזין,חדש,פרטית,28000.0,205000.0,SWIFT,1164
יונדאי,2020,1,אוטומטית,1200.0,בנזין,חדש,פרטית,71500.0,55000.0,I10,3638
שברולט,2016,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,40000.0,134000.0,SPARK,4089
קיה,2021,1,אוטומטית,1200.0,בנזין,חדש,פרטית,78000.0,24000.0,PICANTO,11337
פולקסווגן,2017,1,אוטומטית,1200.0,בנזין,חדש,פרטית,53000.0,150000.0,JETTA,724
לקסוס,2012,4,אוטומטית,1800.0,היברידי,חברה,חברה,53000.0,199000.0,LEXUS CT200H,170
פולקסווגן,2012,3,ידנית,1400.0,בנזין,פרטית,פרטית,29000.0,250000.0,POLO,1952
שברולט,2012,1,אוטומטית,2000.0,טורבו דיזל,חדש,פרטית,21000.0,180000.0,ORLANDO,281
יונדאי,2017,2,אוטומטית,1300.0,בנזין,פרטית,פרטית,67000.0,38000.0,I10,5794
הונדה,2007,1,אוטומטית,1800.0,בנזין,חדש,פרטית,21000.0,245000.0,CIVIC,3354
טויוטה,2017,3,אוטומטית,1800.0,היברידי,ליסינג,פרטית,65000.0,195000.0,AURIS,326
פולקסווגן,2013,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,30000.0,175000.0,POLO,1395
סובארו,2017,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,73000.0,110000.0,XV,3818
קיה,2013,2,אוטומטית,1248.0,בנזין,השכרה,השכרה,32500.0,175000.0,PICANTO,7162
קיה,2014,2,אוטומטית,1250.0,בנזין,פרטית,פרטית,42000.0,73000.0,PICANTO,9755
קיה,2018,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,57000.0,91000.0,PICANTO,8229
קיה,2018,1,אוטומטית,1248.0,בנזין,חדש,פרטית,62500.0,44000.0,PICANTO,8229
ניסאן,2018,2,אוטומטית,2500.0,בנזין,פרטית,פרטית,98000.0,71500.0,ALTIMA,58
סקודה,2015,2,אוטומטית,1395.0,בנזין,פרטית,פרטית,40000.0,144000.0,RAPID,2374
סקודה,2013,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,30000.0,160000.0,OCTAVIA,3181
מאזדה,2004,1,אוטומטית,2000.0,בנזין,חדש,פרטית,20000.0,135000.0,MAZDA 3,0
טויוטה,2019,2,אוטומטית,1600.0,היברידי,ליסינג,פרטית,85000.0,155000.0,COROLLA,394
הונדה,2015,3,אוטומטית,1500.0,בנזין,פרטית,פרטית,56000.0,115000.0,CIVIC,2221
טויוטה,2018,2,אוטומטית,1598.0,בנזין,פרטית,פרטית,62000.0,125000.0,COROLLA,5459
מאזדה,2010,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,27000.0,160000.0,MAZDA 3,16387
סוזוקי,2011,2,אוטומטית,1000.0,בנזין,פרטית,פרטית,20000.0,80000.0,ALTO,3699
טויוטה,2020,2,אוטומטית,1590.0,בנזין,פרטית,פרטית,90000.0,54000.0,YARIS,1262
יונדאי,2014,2,אוטומטית,1400.0,בנזין,ליסינג,פרטית,26000.0,183000.0,I25,3736
מיצובישי,2017,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,38500.0,57000.0,SPACE STAR,1746
סוזוקי,2015,1,אוטומטית,1600.0,בנזין,חדש,פרטית,55000.0,190000.0,CROSSOVER,0
הונדה,2011,3,אוטומטית,1300.0,בנזין,פרטית,פרטית,31000.0,121000.0,JAZZ,361
פיג'ו,2019,2,אוטומטית,1000.0,בנזין,פרטית,פרטית,40000.0,38000.0,108,128
הונדה,2016,2,אוטומטית,1300.0,בנזין,פרטית,פרטית,51900.0,130000.0,JAZZ,2308
יונדאי,2014,2,אוטומטית,1600.0,בנזין,ליסינג,פרטית,40000.0,165000.0,I25,3736
סיטרואן,2014,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,23000.0,145000.0,DS3,23
מאזדה,2008,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,29500.0,111000.0,MAZDA 6,4134
יונדאי,2021,1,אוטומטית,1000.0,בנזין,חדש,פרטית,88000.0,25800.0,I20,6016
סוזוקי,2018,1,אוטומטית,1200.0,בנזין,חדש,פרטית,72000.0,17600.0,IGNIS,2019
פולקסווגן,2012,2,טיפטרוניק,1800.0,בנזין,ליסינג,פרטית,26000.0,200000.0,PASSAT,655
קיה,2017,1,אוטומטית,1600.0,בנזין,חדש,פרטית,69000.0,79000.0,FORTE,2179
סיטרואן,2018,1,אוטומטית,1199.0,בנזין,חדש,פרטית,59500.0,73000.0,C4,0
